Unterthurnau;23;48.880773;15.6219685
Hohenberg;121;48.769211;14.8781002
Bayerisch_Eisenstein;1293;49.1222843;13.2031944
Kleinhaugsdorf;24;48.7533366;16.0651219
Sankt_Oswald_bei_Haslach;538;48.6193509;14.0310748
Leopoldschlag;1060;48.6158608;14.5036113
Durnau;729;48.5752273;14.2697481
Mardetschlag;164;48.6053816;14.5294302
Rossberg;16;48.5548219;14.3212036
Oedt;34;48.6011232;14.0576371
Luden;62;48.8942658;15.572492
Neu-Nagelberg;178;48.8232585;14.975989
Cesky_Jiretin;35;50.7073002;13.5471241
Guglwald;91;48.589528;14.1766196
Eisenhut;32;48.6187922;14.4580957
Horleinsodt;166;48.5908069;14.0690259
Wullowitz;82;48.6429084;14.4531465
Sattling;77;48.6243882;14.022189
Bohmdorf;60;48.554831;14.3536038
Zwota;1581;50.3538262;12.4311161
Weigetschlag;75;48.5593666;14.3103245
Zakouti;9;50.5454907;13.3503438
Jackov;131;49.0350026;15.7700388
Pustkovec;1115;49.841415;18.1677155
Trebovice;1698;49.8331865;18.19295
Svinov;4536;49.8180847;18.1940037
Dubina;17623;49.7745979;18.2537708
Hrabuvka;31555;49.7871693;18.2526551
Bartovice;1556;49.7985383;18.3485171
Valcha;444;49.7081271;13.3326991
Lhota;400;49.6898305;13.3208304
Bozkov;1994;49.7353833;13.4296231
Mezni_Louka;4;50.8737055;14.317415
Charvatska_Nova_Ves;5983;48.7663388;16.8471987
Mitrov;148;49.4410664;16.2186991
Strizov;189;50.1044621;12.36309
Jindrichov;84;50.1057602;12.4002627
Chocovice;5;50.1154624;12.4136121
Chvojecna;16;50.1038038;12.4291161
Potociste;37;50.0950636;12.4460319
Louzek;34;50.1032376;12.4505971
Lesinka;20;50.126562;12.4175644
Dvorek;20;50.135178;12.4078229
Dolni_Castkov;44;50.1717642;12.5001164
Horni_Castkov;76;50.1804875;12.5089864
Mlynek;13;50.1899217;12.4494993
Horka;15;50.1814047;12.4825742
Podlesi;22;50.0435959;12.5641827
Zlata;89;50.1121332;12.566054
Kamenny_Dvur;76;50.1042185;12.540384
Salajna;50;50.0282594;12.5106626
Turany;64;50.0840075;12.5219849
Obilna;41;50.0959461;12.4724493
Mostov;30;50.1140524;12.4910168
Jesenice;30;50.0701589;12.4736401
Vackovec;24;50.1401883;12.4587113
Horni_Halze;8;50.4150474;13.0830577
Kotvina;88;50.3638513;13.1586526
Oslovice;12;50.3611996;13.1372353
Maly_Hrzin;1;50.3755734;13.0741309
Srni;4;50.3756574;13.0540184
Stary_Dvur;18;49.409714;13.0164292
Zdirec_nad_Doubravou;3126;49.6959567;15.8136021
Nove_Ransko;109;49.6917276;15.7964539
Horni_Studenec;282;49.7166457;15.7987795
Novy_Studenec;149;49.7189958;15.7869936
Podmoklany;149;49.7215279;15.7677422
Udavy;103;49.7353767;15.8217738
Vesely_Kopec;20;49.7620383;15.8364408
Povodi;9;50.1369958;12.4304514
Dolni_Luby;30;50.2395189;12.4141878
Horni_Luby;80;50.2651892;12.3926033
Bozetin;13;50.2343391;12.4294726
Vackov;11;50.2352665;12.3808004
Podlesi;117;50.2724545;12.8790395
Ruprechtov;50;50.2915523;12.8499721
Oder;70;50.3072303;12.8386706
Jimlikov;92;50.2540841;12.7869138
Tisova;9;50.0399169;12.8502542
Polna;40;50.1522506;12.2448397
Lipna;15;50.1571173;12.2494878
Taborska;13;50.1404891;12.2641457
Mala_Sitbor;56;50.0552432;12.5328624
Velka_Sitbor;21;50.0552543;12.524143
Navrsi;25;50.0947879;12.5193273
Zeleny_Haj;8;50.154405;12.3042205
Horni_Lomany;827;50.1296927;12.3440463
Mokriny;530;50.2094219;12.2130384
Nebesa;13;50.1971239;12.2287616
Vyhledy;37;50.1887445;12.2703179
Skalka;125;50.1777218;12.268602
Novy_Zdar;24;50.1969955;12.2142186
Hurka;103;50.1200551;12.2538365
Smrcina;3;50.2322728;12.3695253
Studanky;2;49.3630043;12.9919823
Nove_Chalupy;10;49.3680473;13.0946287
Modlin;1;49.3866372;13.105012
Nove_Mesto;28;50.6911817;13.6955256
Tyn;386;50.215909;12.6260957
Zlaty_Kopec;6;50.4373289;12.8448296
Krizatky;32;50.6042589;13.5488454
Cernice;239;50.5669428;13.5239503
Mikulovice;78;50.5890549;13.4836575
Rudolice_v_Horach;16;50.5810315;13.4147113
Horni_Poustevna;301;50.9983607;14.2922288
Nova_Viska;3;51.0081683;14.2831521
Lisci;4;51.0317543;14.3559663
Nacetin;37;50.5734653;13.2930999
Jesov;143;49.6685395;16.9575808
Vikletice;24;50.3500727;13.4027254
Pokutice;16;50.3717488;13.2494816
Suchy_Dul;9;50.3732424;13.2196371
Petlery;72;50.4130428;13.1602976
Nechranice;54;50.3619058;13.4212234
Sychrov;67;49.7637947;14.1180217
Lhotka;43;49.7564089;14.15538
Karlstejn;7;49.7168708;16.054676
Lesina;20;50.1297847;12.4417705
Smilovice;2;49.7274417;14.3595075
Krc;221;49.1949882;14.2484104
Bilenice;93;49.2384339;13.6420328
Zvule;4;49.0968713;15.2368035
Kaliste;54;50.0089056;16.3112141
Albrechtice;62;49.1976959;14.0980953
Podilna;5;50.1456714;12.2340597
Stara_Pohurka;249;48.9610887;14.5221437
Bavorovice;310;49.0228603;14.4419141
Haklovy_Dvory;139;48.9940475;14.4073715
Sindlovy_Dvory;321;48.9632938;14.4328984
Mokre;260;48.9646571;14.4181809
Brna;156;50.077459;16.3252285
Hrcava;278;49.5201686;18.8332414
Hartvikov;23;49.453474;14.86607
Knezpole;18;49.8608049;17.3109124
Hrajovice;26;49.609123;14.849518
Rejkovice;9;49.6177178;14.8601844
Hnojna_Lhotka;11;49.403412;14.6186226
Vyklantice;131;49.55448;15.0404132
Malovidy;127;49.6608268;14.9589715
Liboun;66;49.6342973;14.8206001
Roudny;57;49.6187145;14.8072972
Radlik;406;49.9076035;14.4914442
Bela;1137;50.7892988;14.1711367
Oblajovice;72;49.4427537;14.8822924
Prasetin;55;49.4367372;14.896732
Zelcin;14;50.3257683;14.4386407
Horni_Krupka;31;50.702901;13.8569425
Bezdekov;97;49.4150713;13.7406507
Chockov;23;49.8955326;13.5799048
Sobesice;1475;49.253031;16.6262583
Stolmir;303;50.0867222;14.8417312
Utechov;446;49.288006;16.6348429
Vrbno;85;49.40334;13.8076262
Capartice;21;49.4138783;12.7889673
Frantisky;41;49.7679847;16.1004077
Martinice;31;49.7794849;16.1040135
Pohori;55;49.8999172;14.5250183
Skalsko;29;49.8930338;14.5396172
Mokra_Hora;687;49.2613704;16.5911079
Jehnice;752;49.2745661;16.5938995
Oresin;452;49.2799187;16.6102258
Leskove;299;49.3710051;18.357156
Jelence;168;49.6713719;14.1563489
Ostrov;37;49.7206991;14.1468132
Otin;1191;49.1333033;15.0455486
Horni_Mala_Upa;91;50.7452021;15.8214465
Borek;119;49.8790348;14.505013
Hlubocinka;107;49.9330838;14.560166
Vyskovice;15960;49.7787912;18.2203312
Dolni_Chabry;3836;50.145417;14.4490923
Brnky;93;50.157267;14.4097788
Premysleni;300;50.1686306;14.4277178
Ohucov;92;49.5696472;13.0797122
Alexovice;568;49.0910656;16.3557302
Prkenny_Dul;26;50.6454372;15.9058878
Rychory;0;50.6603727;15.8796711
Klaster_I;49;49.0227025;15.1583781
Horni_Cepi;10;49.4862635;16.3580006
Dolni_Cepi;87;49.4775221;16.3486482
Chlebske;90;49.4701642;16.3621978
Liskovec;106;49.4816038;16.3167438
Kovarova;42;49.4723553;16.3157371
Moravec;44;49.5718193;14.7716238
Lestina;17;49.5762064;14.7399001
Hory;10;49.6185853;14.6724475
Mysletice;36;49.621329;14.665834
Pohorsko;71;49.162313;13.6286818
Zichov;44;49.4851441;13.1412118
Vaclavice;399;50.8577356;14.9069792
Vesin;475;49.6152483;13.8242156
Rohle;449;49.8599135;17.0153148
Strupsin;71;49.8886446;16.9956974
Zruc_nad_Sazavou;4758;49.740296;15.106074
Karlov;4;49.8165373;17.2490503
Nemosice;929;50.0126781;15.7960027
Kriva;30;49.8362773;17.1992124
Tupadly;117;50.4419603;14.4748534
Brocno;220;50.4765074;14.4433672
Chudolazy;44;50.4748107;14.4761528
Osinalice;11;50.4935432;14.517026
Ujezd;42;50.5005169;14.437132
Bylochov;23;50.5125691;14.4769161
Zaksin;58;50.5256626;14.4933492
Destna;113;50.5223012;14.5161441
Nedamov;13;50.5279017;14.5751385
Vidim;196;50.4678504;14.5258244
Vetla;188;50.4716714;14.289383
Malesov;186;50.5103504;14.3219234
Hostka;686;50.4885904;14.3349996
Kochovice;419;50.4855599;14.3282469
Mastirovice;44;50.4853949;14.3086786
Svarenice;80;50.500096;14.2999501
Vedlice;70;50.5269069;14.3467632
Straziste;19;50.5384186;14.3348884
Rochov;35;50.5478611;14.3416035
Tetcineves;117;50.5609572;14.3459085
Kalovice;29;50.5576005;14.4046792
Rasovice;44;50.5708635;14.401111
Tuhanec;10;50.5488929;14.458405
Pavlicky;36;50.543867;14.491611
Zatyni;16;50.5570808;14.4964399
Bosyne;103;50.4140967;14.548852
Janova_Ves;47;50.4231489;14.5584446
Drazejov;6;50.5100465;14.5476679
Horky;8;50.5464161;14.5852116
Lhota;4;50.5687321;14.4983296
Drevcice;136;50.5765827;14.4971023
Drchlava;27;50.5765178;14.521638
Zbyny;127;50.5531954;14.6165357
Sedlec;117;50.4383055;14.6087639
Olesno;2;50.4678553;14.6074297
Lejckov;40;49.4331347;14.8822991
Drazkovice;498;50.0014781;15.7718458
Ceske_Chalupy;45;48.9527527;14.2308771
Drahkov;119;50.6404512;13.870082
Kvitkov;86;50.6377467;13.8860691
Suche;76;50.6333919;13.9109987
Vestany;148;50.6447623;13.9008995
Nechvalice;10;50.6202552;13.8892675
Velvety;130;50.6048593;13.890859
Sezemice;78;50.6138695;13.9048551
Malhostice;61;50.6118995;13.9227477
Lbin;77;50.6072632;13.8572645
Pytlikov;26;50.6111756;13.8557572
Debolin;210;49.1590437;14.9576085
Matna;57;49.1430247;14.9416599
Polikno;194;49.1156477;14.9650904
Horni_Zdar;118;49.11348;14.9941973
Radounka;655;49.1646189;15.0019391
Sucha;48;50.6119057;13.9992137
Ujezd;86;50.6365582;14.0061478
Stadice;171;50.6179752;13.9672252
Krizlice;126;50.6587756;15.5142436
Roudnice;47;50.6716783;15.5023742
Jestrabi_v_Krkonosich;59;50.6805188;15.4917269
Mrklov;207;50.6462504;15.5561147
Valterice;497;50.6228853;15.5546584
Hrabacov;761;50.6218992;15.5073071
Horni_Sytova;240;50.6316089;15.4607183
Perimov;202;50.6194198;15.4432993
Dolni_Sytova;288;50.6177792;15.4309137
Skodejov;40;50.6399586;15.390826
Roztoky_u_Semil;135;50.6584502;15.3715314
Helkovice;34;50.6554317;15.3852331
Stara_Ves;56;50.6705219;15.3835004
Stanovy;47;50.6896141;15.3568166
LHOTKA;38;50.691046;15.3383798
Haratice;512;50.7028622;15.3231145
Bohdalovice;131;50.7161716;15.3256386
Desna_II;1745;50.7551448;15.319727
Albrechtice_v_Jizerskych_horach;307;50.7623619;15.2762385
Rokytno;100;50.7284322;15.4807698
Frantiskov;48;50.7161209;15.4821171
Burany;40;50.7055559;15.4502643
Horni_Dusnice;27;50.7009506;15.4911484
Stromkovice;33;50.6944593;15.4866596
Bratrouchov;49;50.7007683;15.4678674
Rybnice;146;50.6175686;15.3973827
Bitouchov;334;50.6160176;15.3210545
Spalov;102;50.6340621;15.3114866
Strevelna;52;50.6563811;15.2796885
Jirkov;215;50.6594689;15.2748008
Chlistov;98;50.6513982;15.2426383
Vrat;125;50.6350471;15.2296182
Bzi;289;50.658718;15.2251608
Snehov;139;50.6564581;15.1958656
Smrzovka;3430;50.7384678;15.2463402
Nova_Ves_nad_Nisou;570;50.7253941;15.2142196
Horni_Maxov;145;50.7643612;15.2147239
Josefuv_Dul;772;50.781915;15.2314649
Hajniste;212;50.9307529;15.1973055
Arnoltice;320;50.9624449;15.0961501
Radcice;893;49.7623723;13.3260077
Malesice;448;49.7703788;13.2971854
Habruvka;335;49.3034999;16.7235143
